Codice comparto;Indirizzo;Carraio;Fronte;Insegna;Anno inizio attivita;Mese inizio attivita;Tipologia merceologica;Descrizione ripartizione;Dettaglio ripartizione;Categoria merceologica;Prevalente;Tipologia locale;Mq tot locale;Mq tot vendita;Tipologia addensamento;Nome addensamento;Sezione censimento;Zona statistica;Numero Circoscrizione;Sezione elettorale;Cap;DO_Y;DO_X
CF;PIAZZA BENGASI 16;0;0;;1999;2;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pasticceria;S;11554;45;.;N;NEGOZIO;2310;58;9;840;10127;45.017165027251;7.66038044289773
CF;PIAZZA BENGASI 16/D;0;0;;2005;4;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari annessi ad altra attivita;S;19528;.;90;N;NEGOZIO;2310;58;9;0;10127;45.0170540774547;7.66033805137648
CF;PIAZZA BENGASI 16/D;0;0;;2005;4;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;19528;.;90;N;NEGOZIO;2310;58;9;0;10127;45.0170540774547;7.66033805137648
CF;PIAZZA BENGASI 18;0;0;;2002;12;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pasticceria;S;27615;20;.;;NEGOZIO;2310;58;9;840;10127;45.0169060721251;7.66028151012798
CF;PIAZZA BENGASI 18/B;0;0;;2006;8;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Gastronomia;S;65765;.;8;N;NEGOZIO;2310;58;9;0;10127;45.0169281263848;7.66028993062255
CF;PIAZZA BENGASI 2;0;0;;1992;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;27926;85;.;;NEGOZIO;2307;58;9;840;10127;45.0178416909463;7.66116990244029
CF;PIAZZA BENGASI 20/A;0;0;;2004;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;35116;.;124;N;NEGOZIO;2310;58;9;0;10127;45.0167789726032;7.6602329468137
CF;PIAZZA BENGASI 20/A;0;0;;2011;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;116757;160;100;;NEGOZIO;2310;58;9;0;10127;45.0167789726032;7.6602329468137
CF;PIAZZA BENGASI 22;0;0;;2010;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Abbigliamento;S;63949;215;200;N;NEGOZIO;2310;58;9;840;10127;45.0165774409324;7.66035198432905
CF;PIAZZA BENGASI 2/C;0;0;;1992;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;9526;38;.;;NEGOZIO;2307;58;9;0;10127;45.0178556522659;7.66109769104155
CF;PIAZZA BENGASI 4/A;0;0;;2000;3;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;8907;20;.;N;NEGOZIO;2307;58;9;0;10127;45.0178732611323;7.66100644581482
CF;PIAZZA BENGASI 4/A;0;0;;2000;3;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pasticceria;S;8907;20;.;N;NEGOZIO;2307;58;9;0;10127;45.0178732611323;7.66100644581482
CF;PIAZZA BENGASI 4/B;0;0;;2007;12;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;102897;72;35;N;NEGOZIO;2307;58;9;0;10127;45.0178837329588;7.66095217296415
CF;PIAZZA BENGASI 4/B;0;0;;2007;12;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Macelleria;S;102897;72;35;N;NEGOZIO;2307;58;9;0;10127;45.0178837329588;7.66095217296415
CF;PIAZZA CAMILLO BOZZOLO 11;0;0;;2009;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Farmacia;S;11841;99;40;N;NEGOZIO;2231;57;8;916;10126;45.0371908626026;7.67217447932894
CF;PIAZZA CAMILLO BOZZOLO 11;0;0;;2009;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Non alimentari annessi ad altre attivita;N;11841;99;40;N;NEGOZIO;2231;57;8;916;10126;45.0371908626026;7.67217447932894
CF;PIAZZA CAMILLO BOZZOLO 12;1;0;;1977;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Carburanti;S;17360;10;.;;NEGOZIO;2253;57;9;818;10126;45.0366792220585;7.67190157031878
CF;PIAZZA CAMILLO BOZZOLO 3;1;0;;2010;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;N;112970;44;33;;NEGOZIO;2241;57;9;822;10126;45.0374543559087;7.67102244967737
CF;PIAZZA CAMILLO BOZZOLO 3;1;0;;2010;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;112970;44;33;;NEGOZIO;2241;57;9;822;10126;45.0374543559087;7.67102244967737
CF;PIAZZA CAMILLO BOZZOLO 3/A;0;0;;2006;11;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Erboristeria;S;98179;55;40;N;NEGOZIO;2241;57;9;0;10126;45.0374661298537;7.67105876718023
CF;PIAZZA CAMILLO BOZZOLO 3/A;0;0;;2006;11;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;98179;55;40;N;NEGOZIO;2241;57;9;0;10126;45.0374661298537;7.67105876718023
CF;PIAZZA CAMILLO BOZZOLO 3/D;0;0;;2012;2;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Panificio;S;32769;157;48;;NEGOZIO;2241;57;9;0;10126;45.0375090870405;7.67118644749669
CF;PIAZZA CAMILLO BOZZOLO 5;0;0;;2005;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Giocattoli;S;15039;40;.;N;NEGOZIO;2241;57;9;822;10126;45.03755267805;7.67131600505079
CF;PIAZZA CAMILLO BOZZOLO 5;0;0;;2005;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Quotidiani e periodici;S;15038;40;.;N;NEGOZIO;2241;57;9;822;10126;45.03755267805;7.67131600505079
CF;PIAZZA CAMILLO BOZZOLO 5/D;0;0;;2006;11;ALIMENTARI;FORME SPECIALI DI VENDITA;Vend.dettaglio a domicilio;Pizza al taglio;S;67067;65;2;N;NEGOZIO;2241;57;9;0;10126;45.0375700306719;7.67136759391909
CF;PIAZZA CAMILLO BOZZOLO 8;0;0;;1975;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Carburanti;S;29956;3;.;;NEGOZIO;2246;57;9;820;10126;45.036712975113;7.67099293046895
